Date,User,Tweet
2023-04-15 10:59:44+00:00,JRedCallis,"@RealPepeEscobar The Nazis did that when they were losing against Russia in World War 2. That's what you call ""DejaVu"" for Ukraine."
2023-04-15 10:59:44+00:00,RUNWAYBIDDER,"@DevasiaSajan @Kung_Fu_Panzer @NOELreports @RemindMe_OfThis Russia has lost half of what it captured in its invasion last year. And that’s fighting against a smaller country given equipment mostly obsolete in NATO countries. Note russian losses in Ukraine have been 100s of times greater than US losses in Afghanistan, and that’s …"
2023-04-15 10:59:33+00:00,Geopcalypse202X,"@andrewmichta I still think this was not intentional but caused by Russian failure in Ukraine and rejection by the West. Russia has always been primarily European power, its turns to the East always happened when it was not succesful in the West. Its sort of a ""I dont need you"" style defience."
2023-04-15 10:59:32+00:00,DHarry1,"Russia says U.S. government working on “universal” GMO bioweapon at Ukrainian biolabs that would cause MASS DEATH of humans, animals and crops #auspol #Ukraine 
https://t.co/o3rqWYs28Y"
2023-04-15 10:59:30+00:00,PfcMitchRyan,"@bfkallio @ggreenwald 4) it was an analysis of the situation in Ukraine that held info on their depleted ammo stores, info russia will see as vital for launching more air attacks. As for how it affects Americans... I don't think it affects us personally, just makes our gov look BAD. 
2/+"
2023-04-15 10:59:25+00:00,Undead_o7,@ChiJohnnyCash They do seems to be very horny for not only a continuation of war but an escalation. If China brokers a peace agreement between Russia and Ukraine what are these warmongers going to do then?
2023-04-15 10:59:18+00:00,xgreeedy,"@Jtg12461 @globaltimesnews Putin of @mfa_russia can begin to withdraw its troops and return Crimea territory he stole back to Ukraine. Once Putin does that, we can all come back to the table for peace talks. @MFA_China @MFA_Ukraine"
2023-04-15 10:59:14+00:00,ClubRosenberg,"@JasonCoulson6 @Mimosa_Trees @SerenaJB3 Why did Russian White Nationalists /National Socialists leave Russia for Ukraine? Simon Lindberg stated that NS in Russia suffer more extreme persecution than any NS in the EU. RF: zero Nationalist organizations, multiracial where millions of non-Whites can travel to. https://t.co/DxbTFiJw2Q"
2023-04-15 10:59:14+00:00,FactsInEvidence,@MarxMidwest You are the one who doesn't understand the genocide Russia is perpetrating in Ukraine.
2023-04-15 10:59:10+00:00,WillAgee2,"@EpochTimes Blame,play the victimNspin it! Trump was in bed with PutinNthus Russia thenNnow. The corrupt Dixiecrat-Republicanparty has joined in2 deliver Ukraine into Putins' hands,while gaining in favorsNprofit!  Trump is guilty of most ,if not all the charges/allegations. Blessings! :)"
2023-04-15 10:59:08+00:00,talkrealopinion,Proper Russian regions are certainly not well defended and Ukrainian army could have initial deep advance. This would of course be suicidal both diplomatically for Ukraine and would allow Putin to use any weapons to defend Russia.
2023-04-15 10:59:08+00:00,talkrealopinion,Unless Ukraine actually plans to attack internationally recognized Russian territory that borders Ukraine trying to advance as far as possible it makes no sense to warn Russia so they can build fortifications and defense lines in Zaporozhye or Lugansk and Donetsk regions.
2023-04-15 10:59:06+00:00,Fantomas__666,"@MarxMidwest Which donbass civilians, there is 2 parts, and most of civilians killed by russians. Also why is number of refugees which go to Ukraine controlled territory was twice higher comparing to Russia. Do you speak to any of them? i know like 10 of them personally"
2023-04-15 10:59:03+00:00,NataliaKit6,"@Alex_Oloyede2 @mzambo666 @theguy64355 @OfficialAW_Z @jacksonhinklle Ukraine sends Russia in the direction of the Russian cruiser ""Moskva""👎🇷🇺 https://t.co/uxUZ9G4sYK"
2023-04-15 10:58:53+00:00,brave3564445,"@CindyBlack3 @vicktop55 @MarkSleboda1 It's a video someone made in their phone, probably in Russia. Designed to reduce support for Ukraine and try to excuse the crimes of gangster state Russia."
2023-04-15 10:58:52+00:00,CovidNoGood,"@KWachtershauser @MyLordBebo @ABaerbock US sanctioning countries in which children are starving. Where @ABaerbock ?

The day Russia attacked Ukraine the US cassually dropped bombs over Somalia or so. Where @ABaerbock ?"
2023-04-15 10:58:50+00:00,ArmchairOpinio1,"@RoisinAMac @RussianEmbassy @mfa_russia @RusembUkraine @BBCWorld @SkyNews @ftworldnews @guardianworld @standardnews @RusEmbUSA @RusMission_EU @LBCNews Yes we do but not at the cost of a megalomaniac changing the borders because he thinks he has the right too !! Ukraine has a protection warrant for giving up its nukes &amp; that's what your witnessing. Someone tried to tell me they were old, doesn't stop them getting renewed !"
2023-04-15 10:58:50+00:00,EskaPrivate,@HvanderHeij1 @TreasChest Did the Americans vote on whether to supply weapons to Ukraine? Or whether to blow up the Nodstream pipeline? NO!  The Donbass voted to be part of Russia! So don't talk about democracy. You don't even know what that is! You are not a democracy!
2023-04-15 10:58:45+00:00,Koba_Tovarisch,"@Leon19982021 @KimDotcom @ZelenskyyUa I’d like an answer. How many more people need to die because “Russia bad”? Ukraine cannot win this war. Right or wrong, Russia has won. At this point, lives are being thrown away for nothing."
2023-04-15 10:58:41+00:00,Paul_J_Gray83,"@seanmor52432492 @jbarab @DineshDSouza Comers special council has plenty of evidence n he's only looked into 1/11 biden bank accounts. Perhaps u should watch the news hunters exbusiness partners are snitching him out and testifying in congressional hearings. Congress says he's taken money from China, Russia n Ukraine"
2023-04-15 10:58:35+00:00,awus_muks,"@JeffreyGuterman Bush and Obama killed innocent people in Iraq and Libya Israel is killing people in Palestine, USA provoked Russia to attack Ukraine and its supplying Armynitions to Ukraine to sustain an endless war people are dying. Nagashaki and Iroshima. This sense of entitlement is too much"
2023-04-15 10:58:32+00:00,elwrshfany,"Terrible Counterattack! Ukrainian drones destroy hundreds Russian Wagner troops in Bakhmut Trench
#Russia #Ukraine #America #Bakhmut #trumpmugshot https://t.co/5rSsFUuawD"
2023-04-15 10:58:27+00:00,Anthony93544017,Russia is bombing its way toward nuclear catastrophe in Ukraine | The Hill https://t.co/gWvQgOascj
2023-04-15 10:58:26+00:00,DeaJeremy,"@RebelNewsOnline Is our government tracking where this money is going and how it is being used/distributed? Stop funding this war. It is destroying the Ukraine! Only a peaceful solution between Russia and Ukraine matters, not the funneling of billions of dollars of arms to ""win the war"""
2023-04-15 10:58:18+00:00,lilrara37,"@lisa_vasilatos @edroso @JasonOverstreet Missed information? 21 year old releases top secret, Budweiser loses 60 mill cash app killer found Ukraine is going to defeat russia"
2023-04-15 10:58:03+00:00,Renekens,"@kiraincongress To destroy life and property is all russia knows to do. I am so sorry they are your neighbors because Ukraine is the opposite. Ukrainians create &amp; innovate and are forward-thinking. russia is a barbaric, terrorist state, and it will be defeated.  💪 🇺🇦"
2023-04-15 10:58:03+00:00,SeanBlack07,"In case y’all didn’t know Russia is fighting the Ukraine for a nuclear power plant that is in Ukraine. 

Y’all go head and figure out the rest!!!"
2023-04-15 10:58:01+00:00,MartinS2165398,"@SikkSoToo @williams95alice Russia has more soldiers in Ukraine than anyone else. If they left no other countries would need to be there. 

If russia stop fighting -&gt; no war
If Ukraine stop fighting -&gt; no Ukraine"
2023-04-15 10:57:56+00:00,courage2hear,"@simonateba Ukrainian leaders signed a document to honor minority rights, including language and religious rights. Yeltsin told GHWBush or Clinton in the early 1990s that Russia was worried about Ukrainian nationalism, but noted there were 11 million Russians in Ukraine who would secede."
2023-04-15 10:57:52+00:00,Aontaithe2021,"Lula's description of the war as a ""family quarrel"" plays into the Russian narrative that Russia is Ukraine's big brother and has a right to tell it what to do. No it does not and is not."
2023-04-15 10:57:51+00:00,dt0x75,@MichaelMaiello @electricgrendel @RepSwalwell We absolutely do have a defense agreement with Ukraine. They agreed to return their nuclear weapons to Russia in return the US would help defend them should Russia invade. At the time they had the third largest nuclear arsenal in the world after the Soviet Union collapsed
2023-04-15 10:57:51+00:00,JamzPamma,"@simonateba They lie about everything they say.  It's a US war and Ukraine is being used.  That's why millions keep getting  put into this.  American hates Russia, not sure if it was before Edward Snowden but Russia gets blamed for a lot, such as blowing up their own pipeline for example"
2023-04-15 10:57:49+00:00,dansmit62463261,@MartinSchmitte3 @Enixword @RT_com They said the same about Russia and its 6 million casualties. Russia is still in Ukraine as well as the world's Democracies.
2023-04-15 10:57:47+00:00,m_tweet1234,"@KyivIndependent If Ukraine had not stopped Russia from achieving a full takeover of the country, tens of thousands of civilians, military and government officials would have been ""disappeared"" by Russia. Lula is advocating for genocide."
2023-04-15 10:57:46+00:00,Craigless111,"@ricwe123 While the elites stuff their pockets and their families are safe.  It us time for the working class citizens in the world, especially in Ukraine and Russia to all lay down our weapons and unite.  That's what govts fear the most that's why they constantly divide us with politics"
2023-04-15 10:57:40+00:00,Vertical4Space,"@JoeBiden Let's talk about the illegal war, with Russia, you are waging in Ukraine.

The whistle blower that you just arrested really let the cat out of the bag!

So you just keep on spewing your propaganda, the rest of the world knows what you are up to!"
2023-04-15 10:57:37+00:00,mike_paroulek,@mtgreenee You admitted the Russia/Ukraine War  contributed to inflation like Biden says. Rookie.
2023-04-15 10:57:30+00:00,marks_lyons,"@2Russophobic4u ""I spent hour on wikipedia,became an expert on modern Ukrainian history,made a tik tok video,so now you all can become experts on Ukraine in just one minute! And so we can all together continue to support Russia's genocidal war,and feel like well informed people while doing it."""
2023-04-15 10:57:27+00:00,NextGenWar,"@2_legs @simonateba I don't care about Ukraine. But I loathe Russia.

The list of those who support Russia are even more dire monsters, and if you don't think they are, you really need to recalibrate your moral compass."
2023-04-15 10:57:24+00:00,Andy_Scollick,"""Ukraine. Slavyansk. Good Friday. 14 April 2023. Russian occupiers shelled residential buildings.""
- General Staf of the Armed Forces of Ukraine

PS. The toddler died in the ambulance - murdered by Russia and the Russians"
2023-04-15 10:57:19+00:00,gazzhook2,"@FoxNews Russia will not 'accidentally' kill a US soldier in Ukraine. As the Russians see it, they will be enemy combatants if they're in a combat area. They shouldn't be there, as the rest of western military personnel shouldn't be."
2023-04-15 10:57:18+00:00,509298,Will Ukraine run out of Russia manufactured air defence missiles before replacement western systems get there in sufficient numbers for the spring counter-offensive? #UkraineRussiaWar @UKDefJournal @estudismilitars @GBNEWS @trtworld @5_News @cnni @TimesRadio @euronews
2023-04-15 10:57:16+00:00,RealCielRouge,"No doubt - ""One Russia"" policy covers Ukraine, Georgia, Armenia, Baltics, -stans, etc, no?
#Russia #imperialism #Ukraine #Georgia #Estonia #Latvia #Lufthansa #USSR #OneRussiaPolicy https://t.co/TG1Yvs0Rp5"
2023-04-15 10:57:09+00:00,AccountOwner11,@Think_of_You1st @RjbRocklin @dom_lucre @elonmusk Your Ukraine flag in bio (my home country) makes your opinion irrelevant.  Real Ukrainians don’t want war with Russia.
2023-04-15 10:57:06+00:00,Hellstorm901,"@Regionalfrei @dimamonov77 @Giov_Fontana @WarMonitors Give it a rest with this ""We aren't fighting Ukraine we're fighting NATO troops who have secretly replaced the entire Ukrainian Army"" nonsense

The world is sick and tired of Russia's pathetic excuses to cover up the fact their military has been little more than a paper bear"
2023-04-15 10:57:01+00:00,rscotttipton1A,"@andrewmichta Agreed. 
#ArmUkraineNow 
Allow #Ukraine to end this Godforsaken war with #MadVlad and his #Russia. 
#SlavaUkraine"
2023-04-15 10:57:01+00:00,ezautoleasesale,@elonmusk @CollinRugg The US isn't at war with Russia though Russia has violated the rules established in 1945 by attacking Ukraine's sovereignty which must be defended to maintain the established law and order in the world.
2023-04-15 10:56:58+00:00,catturd2,Good morning to everyone except the traitors in the Biden regime who just got caught redhanded lying through their teeth about Ukraine/Russia.
